"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"", "", "", "", "fert", "4"
"", "", "", "", "fête", "4"
"", "", "", "", "ffeu", "4"
"", "", "", "", "font", "4"
"", "", "", "", "foye", "4"
"", "", "", "", "gard", "4"
"", "", "", "", "gean", "4"
"", "", "", "", "hain", "4"
"", "", "", "", "hier", "4"
"", "", "", "", "iale", "4"
"", "", "", "", "iant", "4"
"", "", "", "", "ienn", "4"
"", "", "", "", "illu", "4"
"", "", "", "", "inca", "4"
"", "", "", "", "init", "4"
"", "", "", "", "inti", "4"
"", "", "", "", "ipit", "4"
"", "", "", "", "issa", "4"
"", "", "", "", "itec", "4"
"", "", "", "", "itio", "4"
"", "", "", "", "join", "4"
"", "", "", "", "larg", "4"
"", "", "", "", "légi", "4"
"", "", "", "", "llem", "4"
"", "", "", "", "malh", "4"
"", "", "", "", "marc", "4"
"", "", "", "", "méch", "4"
"", "", "", "", "memb", "4"
"", "", "", "", "mien", "4"
"", "", "", "", "mili", "4"
"", "", "", "", "mome", "4"
"", "", "", "", "ncer", "4"
"", "", "", "", "ndai", "4"
"", "", "", "", "nden", "4"
"", "", "", "", "nder", "4"
"", "", "", "", "nten", "4"
"", "", "", "", "odui", "4"
"", "", "", "", "oliq", "4"
"", "", "", "", "onsa", "4"
"", "", "", "", "opin", "4"
"", "", "", "", "otta", "4"
"", "", "", "", "ouët", "4"
"", "", "", "", "pabl", "4"
"", "", "", "", "paro", "4"
"", "", "", "", "patr", "4"
"", "", "", "", "péri", "4"
"", "", "", "", "perm", "4"
"", "", "", "", "peup", "4"
"", "", "", "", "plut", "4"
"", "", "", "", "poli", "4"
"", "", "", "", "prom", "4"
"", "", "", "", "prov", "4"
"", "", "", "", "quar", "4"
"", "", "", "", "quil", "4"
"", "", "", "", "quin", "4"
"", "", "", "", "raie", "4"
"", "", "", "", "rali", "4"
"", "", "", "", "rayo", "4"
"", "", "", "", "rcie", "4"
"", "", "", "", "rece", "4"
"", "", "", "", "redi", "4"
"", "", "", "", "repo", "4"
"", "", "", "", "réso", "4"
"", "", "", "", "résu", "4"
"", "", "", "", "rète", "4"
"", "", "", "", "reto", "4"
"", "", "", "", "reur", "4"
"", "", "", "", "revi", "4"
"", "", "", "", "ribu", "4"
"", "", "", "", "rpar", "4"
"", "", "", "", "rtan", "4"
"", "", "", "", "sage", "4"
"", "", "", "", "sang", "4"
"", "", "", "", "secr", "4"
"", "", "", "", "séri", "4"
"", "", "", "", "sfac", "4"
"", "", "", "", "sile", "4"
"", "", "", "", "situ", "4"
"", "", "", "", "soli", "4"
"", "", "", "", "souv", "4"
