"Word", "Number of occurrences"
"milieu", "8"
"attention", "8"
"pousser", "8"
"donne", "8"
"salaires", "8"
"honte", "8"
"mourir", "8"
"moindre", "8"
"lignes", "8"
"volontairement", "8"
"âge", "8"
"colonies", "8"
"mères", "8"
"circulation", "8"
"préparation", "8"
"avantages", "8"
"seuls", "8"
"profiter", "8"
"approbation", "8"
"représentants", "8"
"braves", "8"
"prononcer", "8"
"obus", "8"
"dépense", "8"
"hôtels", "8"
"objet", "8"
"gratitude", "8"
"énorme", "8"
"vainqueurs", "8"
"personnelles", "8"
"japon", "8"
"clair", "8"
"charge", "8"
"devenu", "8"
"libre", "8"
"concerne", "8"
"tient", "8"
"soldat", "8"
"dure", "8"
"bienfait", "8"
"étrangers", "8"
"vendre", "8"
"villages", "8"
"marche", "8"
"étude", "8"
"généralement", "8"
"supprimer", "8"
"weiss", "8"
"conquête", "8"
"congrès", "8"
"isolement", "8"
"cesse", "8"
"grèves", "8"
"nuit", "8"
"officiel", "8"
"dévouement", "8"
"irréparables", "8"
"difficulté", "8"
"détruit", "8"
"manifestation", "8"
"combattre", "8"
"changement", "8"
"région", "8"
"crise", "8"
"vote", "8"
"augmentation", "8"
"entente", "8"
"pt", "8"
"armistice", "8"
"électeurs", "8"
"samedi", "8"
"installation", "8"
"gré", "8"
"hôpitaux", "8"
"tâche", "8"
"manqué", "8"
"annexes", "8"
"protester", "8"
"déceptions", "8"
"beauté", "8"
"européenne", "8"
"aviez", "8"
"efficace", "8"
"coûte", "8"
"bord", "8"
"haskell", "8"
"mise", "7"
"enthousiasme", "7"
"bout", "7"
"forme", "7"
"second", "7"
"mépris", "7"
"atrocités", "7"
"avance", "7"
"désir", "7"
"exemplaire", "7"
"connaissance", "7"
"inquiétude", "7"
"éléments", "7"
"réserves", "7"
"ouvriers", "7"
"moralité", "7"
"dévoués", "7"
"traditions", "7"
"gagné", "7"
"changé", "7"
"lloyd", "7"
"assurer", "7"
"respect", "7"
"bilan", "7"
"art", "7"
"finie", "7"
"charges", "7"
"épuisée", "7"
"privée", "7"
"demander", "7"
"soin", "7"
"entrer", "7"
"nettement", "7"
"blocus", "7"
"papier", "7"
"subir", "7"
"prolongée", "7"
"juger", "7"
"conquêtes", "7"
"défiance", "7"
"ingratitude", "7"
"généreuse", "7"
